Parameter,Fitness,Value
Low Crossover ,0.116874742,0.5
Low Crossover ,0.009216787,0.5
Low Crossover ,0.084428772,0.5
Low Crossover ,0.004363182,0.5
Low Crossover ,0.017853356,0.5
Low Crossover ,0.006694971,0.5
Low Crossover ,0.089592212,0.5
Low Crossover ,0.185954029,0.5
Low Crossover ,0.00363706,0.5
Low Crossover ,0.187785798,0.5
Default,0.034543719,1
Default,0.201942953,1
Default,0.006006232,1
Default,0.039984634,1
Default,0.015209828,1
Default,0.131276273,1
Default,0.155607692,1
Default,0.072052833,1
Default,0.204046766,1
Default,0.020509266,1
High Crossover ,0.013505442,2
High Crossover ,0.00776433,2
High Crossover ,0.014509883,2
High Crossover ,0.032001079,2
High Crossover ,0.005198693,2
High Crossover ,0.004087256,2
High Crossover ,0.041258629,2
High Crossover ,0.007655653,2
High Crossover ,0.025705339,2
High Crossover ,0.029052901,2
